Local Authority,School Name,SeedCode,School Type,Roll,Number registered for FSM,Estimated Number registered for FSM under National eligibility only,Pupils Present on survey day,Pupils Present and who took a meal (free or paid for),Pupils Present and Registered for FSM,Pupils Present and who took a FSM,Notes
Glasgow City,Westmuir High School,1000241,Special,61,26,26,30,30,20,20,0
Glasgow City,Highpark Primary School,1001507,Primary,190,105,105,186,146,105,104,0
Glasgow City,Camstradden Primary School,8400024,Primary,198,110,110,179,123,103,100,0
Glasgow City,Oakwood Primary School,8400121,Primary,242,133,133,216,163,117,117,0
Glasgow City,Riverside Primary School,8400229,Primary,203,102,102,185,162,83,83,0
Glasgow City,Alexandra Parade Primary School,8405328,Primary,376,118,118,345,161,118,93,0
Glasgow City,Anderston Primary School,8405425,Primary,111,36,36,108,74,34,30,0
Glasgow City,Annette Street Primary School,8405522,Primary,179,93,93,155,140,74,70,0
Glasgow City,Balornock Primary School,8405921,Primary,311,163,163,282,174,128,128,0
Glasgow City,Bankhead Primary School,8406022,Primary,333,128,128,319,182,128,114,0
Glasgow City,Barmulloch Primary School,8406324,Primary,97,52,52,86,76,50,50,0
Glasgow City,Battlefield Primary School,8406529,Primary,338,77,77,335,150,62,62,0
Glasgow City,Blackfriars Primary School,8406820,Primary,210,116,116,194,128,116,102,0
Glasgow City,Blairdardie Primary School,8406928,Primary,419,115,115,399,273,106,80,0
Glasgow City,Broomhill Primary School,8407428,Primary,423,40,40,415,159,40,32,0
Glasgow City,Cadder Primary School,8407827,Primary,164,62,62,159,99,59,55,0
Glasgow City,Cardonald Primary School,8408025,Primary,354,106,106,330,144,76,50,0
Glasgow City,Pirie Park Primary School,8410020,Primary,423,186,186,398,268,179,141,0
Glasgow City,Carntyne Primary School,8410321,Primary,172,56,56,165,102,52,52,0
Glasgow City,Ashpark Primary School,8410429,Primary,268,123,123,227,161,123,123,0
Glasgow City,Castleton Primary School,8410526,Primary,367,179,179,344,229,165,159,0
Glasgow City,Chirnsyde Primary School,8410623,Primary,219,98,98,206,144,83,83,0
Glasgow City,Corpus Christi Primary School,8411026,Primary,359,146,146,352,207,145,137,0
Glasgow City,Avenue End Primary School,8411123,Primary,264,150,150,245,148,140,90,0
Glasgow City,Craigton Primary School & Nursery Class,8411220,Primary,272,68,68,258,258,68,68,0
Glasgow City,Croftfoot Primary School,8411328,Primary,302,111,111,287,129,104,92,0
Glasgow City,Cuthbertson Primary School and Nursery Class,8411425,Primary,334,108,108,289,157,90,87,0
Glasgow City,Dalmarnock Primary School,8411522,Primary,281,170,170,265,170,162,123,0
Glasgow City,Antonine Primary School,8411921,Primary,260,133,133,254,212,130,130,0
Glasgow City,Dunard Primary School & Nursery Class,8412022,Primary,260,115,115,234,198,106,106,0
Glasgow City,Eastbank Primary School,8412227,Primary,216,74,74,211,139,71,67,0
Glasgow City,Elmvale Primary School & Nursery Class,8412529,Primary,322,169,169,296,215,136,128,0
Glasgow City,Garnetbank Primary School,8412723,Primary,253,57,57,237,157,53,53,0
Glasgow City,Garscadden Primary School,8412820,Primary,220,107,107,209,128,101,79,0
Glasgow City,Golfhill Primary School,8412928,Primary,141,65,65,135,105,65,65,0
Glasgow City,Gowanbank Primary School,8413029,Primary,127,55,55,117,102,49,49,0
Glasgow City,Haghill Park Primary School & Nursery Class,8413223,Primary,143,84,84,119,85,70,67,0
Glasgow City,Hillhead Primary School,8413525,Primary,651,75,75,622,217,70,50,0
Glasgow City,Hillington Primary School,8413622,Primary,341,65,65,316,176,58,58,0
Glasgow City,Enhanced Vocational Inclusion Programme (EVIP),8414041,Special,171,81,81,75,70,52,52,0
Glasgow City,Holy Cross Primary School,8414122,Primary,480,165,165,465,199,151,151,0
Glasgow City,Cleeves Primary School,8414327,Primary,276,139,139,240,201,118,115,0
Glasgow City,Hyndland Primary School,8414521,Primary,407,49,49,378,113,49,29,0
Glasgow City,Ibrox Primary School & Nursery Class,8414629,Primary,183,86,86,165,100,75,72,0
Glasgow City,Kelvindale Primary School,8414823,Primary,443,71,71,420,222,69,69,0
Glasgow City,King's Park Primary School,8415129,Primary,320,60,60,302,100,53,53,0
Glasgow City,Knightswood Primary School,8415226,Primary,491,202,202,479,225,202,148,0
Glasgow City,Wallacewell Primary School,8415323,Primary,385,96,96,369,166,90,90,0
Glasgow City,Langside Primary School,8415420,Primary,381,51,51,362,134,49,29,0
Glasgow City,Lorne Street Primary School,8416028,Primary,208,58,58,200,95,56,48,0
Glasgow City,Lourdes Primary School & Nursery Class,8416125,Primary,403,143,143,378,185,106,106,0
Glasgow City,Crookston Castle Primary School,8416222,Primary,489,173,173,461,253,163,127,0
Glasgow City,Merrylee Primary School,8416524,Primary,424,59,59,411,185,57,57,0
Glasgow City,Cranhill Primary School,8416621,Primary,125,72,72,119,90,70,67,0
Glasgow City,Miltonbank Primary School,8416729,Primary,147,100,100,133,105,90,70,0
Glasgow City,Mosspark Primary School & Nursery Class,8416923,Primary,236,69,69,223,123,64,46,0
Glasgow City,Mount Florida Primary School & Nursery Class,8417024,Primary,213,72,72,197,89,72,55,0
Glasgow City,Notre Dame Primary School,8417520,Primary,407,77,77,404,138,70,50,0
Glasgow City,Oakgrove Primary School,8417628,Primary,210,87,87,203,147,82,82,0
Glasgow City,Our Lady Of The Annunciation Primary School,8417822,Primary,201,25,25,193,190,25,25,0
Glasgow City,Our Lady Of The Rosary Primary School & Nursery Class,8418225,Primary,391,93,93,373,151,76,76,0
Glasgow City,Pollokshields Primary School,8418721,Primary,242,94,94,214,128,78,70,0
Glasgow City,Quarry Brae Primary School,8418926,Primary,259,128,128,240,160,118,111,0
Glasgow City,Royston Primary School,8419221,Primary,130,64,64,126,93,60,54,0
Glasgow City,Sacred Heart Primary School,8419728,Primary,258,111,111,248,172,109,109,0
Glasgow City,St Albert's Primary School,8419922,Primary,260,87,87,250,107,80,56,0
Glasgow City,Aultmore Park Primary School,8420122,Primary,307,211,211,280,221,189,174,0
Glasgow City,St Monica's (Milton) Primary School,8420220,Primary,346,157,157,319,180,140,117,0
Glasgow City,St Anne's Primary School,8420424,Primary,259,124,124,245,150,118,105,0
Glasgow City,St Constantine's Primary School & Nursery Class,8420521,Primary,294,111,111,266,109,106,78,0
Glasgow City,St Bartholomew's Primary School,8420726,Primary,279,113,113,273,156,87,87,0
Glasgow City,St Benedict's Primary School,8420823,Primary,324,140,140,317,215,132,122,0
Glasgow City,St Bernard's Primary School,8420920,Primary,350,162,162,324,209,161,135,0
Glasgow City,St Brendan's Primary School,8421129,Primary,173,64,64,164,142,62,62,0
Glasgow City,St Bride's Primary School,8421226,Primary,319,91,91,273,126,91,91,0
Glasgow City,St Brigid's Primary School,8421323,Primary,216,72,72,200,140,72,64,0
Glasgow City,St Catherine's Primary School,8421420,Primary,339,103,103,328,193,94,72,0
